Metabolites,min_glc,max_glc,min_mets_glc,max_mets_glc,min_lacD,max_lacD,min_ac,max_ac,min_etoh,max_etoh
LC_dha_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_dhap_c,-11.8575087712175,-2.99573227355399,-9.67237583157274,-8.57376354290463,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_dhor-S_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_dttp_c,-13.8155105579643,-2.99573227355399,-11.2472278392526,-10.185643111004,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_e4p_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_etoh_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_f6p_c,-13.8155105579643,-2.99573227355399,-10.3560442681781,-9.79015886722912,-11.9133963313806,-2.99573227355399,-11.9133963313806,-2.99573227355399,-11.9133963313806,-2.99573227355399
LC_fad_c,-13.8155105579643,-2.99573227355399,-11.2090783290252,-10.1313835036344,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_fdp_c,-13.8155105579643,-2.99573227355399,-10.8999043288896,-10.3087526806416,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_fe2_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
